E54Dimension_id	permalink	label_it	label_en	close_match	related_match	type	unit	value
https://w3id.org/ficlitdl/giuseppe-raimondi-fonds/notebooks/1/1961/rdq140/extent/11p	https://w3id.org/ficlitdl/giuseppe-raimondi-fonds/notebooks/1/1961/rdq140/extent/11p	11 pagine	11 pages		http://vocab.getty.edu/aat/300055645	https://w3id.org/ficlitdl/dimension-type/extent	https://w3id.org/ficlitdl/measurement-unit-type/page	11
https://w3id.org/ficlitdl/giuseppe-raimondi-fonds/notebooks/1/1966/rdq224/extent/10c	https://w3id.org/ficlitdl/giuseppe-raimondi-fonds/notebooks/1/1966/rdq224/extent/10c	10 carte	10 leaves		http://vocab.getty.edu/aat/300055645	https://w3id.org/ficlitdl/dimension-type/extent	https://w3id.org/ficlitdl/measurement-unit-type/leaf	10
https://w3id.org/ficlitdl/giuseppe-raimondi-fonds/notebooks/1/1968/rdq248/extent/10c	https://w3id.org/ficlitdl/giuseppe-raimondi-fonds/notebooks/1/1968/rdq248/extent/10c	10 carte	10 leaves		http://vocab.getty.edu/aat/300055645	https://w3id.org/ficlitdl/dimension-type/extent	https://w3id.org/ficlitdl/measurement-unit-type/leaf	10
https://w3id.org/ficlitdl/giuseppe-raimondi-fonds/notebooks/1/1960/rdq124/height/22cm	https://w3id.org/ficlitdl/giuseppe-raimondi-fonds/notebooks/1/1960/rdq124/height/22cm	Altezza 22 cm	Height 22 cm	http://vocab.getty.edu/aat/300055644		https://w3id.org/ficlitdl/dimension-type/height	https://w3id.org/ficlitdl/measurement-unit-type/centimetre	22
https://w3id.org/ficlitdl/giuseppe-raimondi-fonds/notebooks/1/1969/rdq252/height/22cm	https://w3id.org/ficlitdl/giuseppe-raimondi-fonds/notebooks/1/1969/rdq252/height/22cm	Altezza 22 cm	Height 22 cm	http://vocab.getty.edu/aat/300055644		https://w3id.org/ficlitdl/dimension-type/height	https://w3id.org/ficlitdl/measurement-unit-type/centimetre	22
https://w3id.org/ficlitdl/giuseppe-raimondi-fonds/notebooks/1/1961/rdq150/height/22cm	https://w3id.org/ficlitdl/giuseppe-raimondi-fonds/notebooks/1/1961/rdq150/height/22cm	Altezza 22 cm	Height 22 cm	http://vocab.getty.edu/aat/300055644		https://w3id.org/ficlitdl/dimension-type/height	https://w3id.org/ficlitdl/measurement-unit-type/centimetre	22
https://w3id.org/ficlitdl/giuseppe-raimondi-fonds/notebooks/1/1960/rdq113/extent/16p	https://w3id.org/ficlitdl/giuseppe-raimondi-fonds/notebooks/1/1960/rdq113/extent/16p	16 pagine	16 pages		http://vocab.getty.edu/aat/300055645	https://w3id.org/ficlitdl/dimension-type/extent	https://w3id.org/ficlitdl/measurement-unit-type/page	16
https://w3id.org/ficlitdl/giuseppe-raimondi-fonds/notebooks/1/1973/rdq293/height/21cm	https://w3id.org/ficlitdl/giuseppe-raimondi-fonds/notebooks/1/1973/rdq293/height/21cm	Altezza 21 cm	Height 21 cm	http://vocab.getty.edu/aat/300055644		https://w3id.org/ficlitdl/dimension-type/height	https://w3id.org/ficlitdl/measurement-unit-type/centimetre	21
https://w3id.org/ficlitdl/giuseppe-raimondi-fonds/notebooks/1/1968/rdq245/height/22cm	https://w3id.org/ficlitdl/giuseppe-raimondi-fonds/notebooks/1/1968/rdq245/height/22cm	Altezza 22 cm	Height 22 cm	http://vocab.getty.edu/aat/300055644		https://w3id.org/ficlitdl/dimension-type/height	https://w3id.org/ficlitdl/measurement-unit-type/centimetre	22
https://w3id.org/ficlitdl/giuseppe-raimondi-fonds/notebooks/1/1975/rdq298/extent/10c	https://w3id.org/ficlitdl/giuseppe-raimondi-fonds/notebooks/1/1975/rdq298/extent/10c	10 carte	10 leaves		http://vocab.getty.edu/aat/300055645	https://w3id.org/ficlitdl/dimension-type/extent	https://w3id.org/ficlitdl/measurement-unit-type/leaf	10
